arch,seq_len,batch,latency_ms_p50,latency_ms_p95,peak_incremental_mib,dense_attention_pairs_per_head
ASLA-P1,64,2,3.1944175002536213,3.6154828498638376,1.18505859375,4096
ASLA-P1,128,2,3.2357909999518597,3.583853350028221,2.6982421875,16384
ASLA-P1,256,2,3.1951400001162256,3.547184850049234,7.69140625,65536
ASLA-P1,512,2,3.217519999907381,3.3741157501026464,24.990234375,262144
ASLA-P1,1024,2,4.87548599994625,5.1247502501155395,88.962890625,1048576
ASLA-P1,2048,2,13.155012999959581,13.225102500337016,334.158203125,4194304
MLA,64,2,1.7331724998257414,1.833428800046022,0.7119140625,4096
MLA,128,2,1.7137020004156511,1.8238794000808412,1.201171875,16384
MLA,256,2,1.6880250000212982,1.7423246499220113,2.22705078125,65536
MLA,512,2,1.6992564997053705,1.8853806999686638,4.49560546875,262144
MLA,1024,2,2.24453800046831,2.317452199986292,12.22412109375,1048576
MLA,2048,2,4.346855000221694,4.547504599622698,36.93115234375,4194304
