arch,cache_mode,elements_per_token_layer,realized,context,cache_gib_batch1
ASLA-P1,compressed_state_theoretical,44.0,False,256,8.392333984375e-05
ASLA-P1,compressed_state_theoretical,44.0,False,1024,0.000335693359375
ASLA-P1,compressed_state_theoretical,44.0,False,2048,0.00067138671875
ASLA-P1,compressed_state_theoretical,44.0,False,4096,0.0013427734375
ASLA-P1,compressed_state_theoretical,44.0,False,8192,0.002685546875
ASLA-P1,compressed_state_theoretical,44.0,False,16384,0.00537109375
ASLA-P1,compressed_state_theoretical,44.0,False,32768,0.0107421875
MLA,paper_optimized_latent_cache,93.0,False,256,0.0001773834228515625
MLA,paper_optimized_latent_cache,93.0,False,1024,0.00070953369140625
MLA,paper_optimized_latent_cache,93.0,False,2048,0.0014190673828125
MLA,paper_optimized_latent_cache,93.0,False,4096,0.002838134765625
MLA,paper_optimized_latent_cache,93.0,False,8192,0.00567626953125
MLA,paper_optimized_latent_cache,93.0,False,16384,0.0113525390625
MLA,paper_optimized_latent_cache,93.0,False,32768,0.022705078125
MHA-reference,standard_materialized_kv,448.0,True,256,0.0008544921875
MHA-reference,standard_materialized_kv,448.0,True,1024,0.00341796875
MHA-reference,standard_materialized_kv,448.0,True,2048,0.0068359375
MHA-reference,standard_materialized_kv,448.0,True,4096,0.013671875
MHA-reference,standard_materialized_kv,448.0,True,8192,0.02734375
MHA-reference,standard_materialized_kv,448.0,True,16384,0.0546875
MHA-reference,standard_materialized_kv,448.0,True,32768,0.109375
